[17,22,36]
Strategy:CMT_18-24_OTB-OTM,CMT_24-40_OTB-OTM,CST_18-24_OTBpur,CST_24-40_OTB-OTM-OTT,CST_24-40_OTB-OTT,CST_24-40_OTBpur,GPV_18-24_OTB-OTT,GPV_24-40_OTB-OTM-OTT,GPV_24-40_OTB-OTT,GPV_24-40_OTBpur,GST_18-24_OTB-OTM,GST_24-40_OTBpur,XMA_18-24_OTBpur,XST_18-24_OTB-OTT,XST_24-40_OTB-OTM-OTT,XST_24-40_OTB-OTT,XST_24-40_OTBpur
Metier:OTB_CMT_18-24,OTM_CMT_18-24,OTB_CMT_24-40,OTM_CMT_24-40,OTB_CST_18-24,OTB_CST_24-40,OTM_CST_24-40,OTT_CST_24-40,OTB_GPV_18-24,OTT_GPV_18-24,OTB_GPV_24-40,OTM_GPV_24-40,OTT_GPV_24-40,OTB_GST_18-24,OTM_GST_18-24,OTB_GST_24-40,OTB_XMA_18-24,OTB_XST_18-24,OTT_XST_18-24,OTB_XST_24-40,OTM_XST_24-40,OTT_XST_24-40
TimeStep:0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0;0;0;0.9847
0;1;0;0.0153
0;0;1;0.9768
0;1;1;0.0232
0;0;2;0.9837
0;1;2;0.0163
0;0;3;0.9003
0;1;3;0.0997
0;0;4;0.9072
0;1;4;0.0928
0;0;5;0.9413
0;1;5;0.0587
0;0;6;1
0;1;6;0
0;0;7;1
0;1;7;0
0;0;8;1
0;1;8;0
0;0;9;1
0;1;9;0
0;0;10;1
0;1;10;0
0;0;11;1
0;1;11;0
0;0;12;1
0;1;12;0
0;0;13;1
0;1;13;0
0;0;14;0.9507
0;1;14;0.0493
0;0;15;0.98
0;1;15;0.02
0;0;16;1
0;1;16;0
0;0;17;1
0;1;17;0
0;0;18;1
0;1;18;0
0;0;19;1
0;1;19;0
0;0;20;1
0;1;20;0
0;0;21;1
0;1;21;0
0;0;22;1
0;1;22;0
0;0;23;1
0;1;23;0
0;0;24;1
0;1;24;0
0;0;25;1
0;1;25;0
0;0;26;1
0;1;26;0
0;0;27;1
0;1;27;0
0;0;28;1
0;1;28;0
0;0;29;1
0;1;29;0
0;0;30;1
0;1;30;0
0;0;31;1
0;1;31;0
0;0;32;1
0;1;32;0
0;0;33;1
0;1;33;0
0;0;34;1
0;1;34;0
