TAXON_GROUP_NAME;YEAR;METIER;MONTH;VPUE
Engraulis encrasicolus;2016;OTB_CST_18-24;9;0.115379056167434
Engraulis encrasicolus;2016;OTB_CST_18-24;11;0.159081956053896
Engraulis encrasicolus;2016;OTB_CST_24-40;1;0.0731682220806117
Engraulis encrasicolus;2016;OTB_CST_24-40;2;0.0695758138576441
Engraulis encrasicolus;2016;OTB_CST_24-40;3;0.0181582045947117
Engraulis encrasicolus;2016;OTB_CST_24-40;4;0.0263552608235228
Engraulis encrasicolus;2016;OTB_CST_24-40;7;0.0148858706563311
Engraulis encrasicolus;2016;OTB_CST_24-40;11;228.050117079039
Engraulis encrasicolus;2016;OTB_CST_24-40;12;0.271863890041021
Engraulis encrasicolus;2016;OTB_GPV_24-40;1;82.9248478241534
Engraulis encrasicolus;2016;OTB_GPV_24-40;4;0.17266217204561
Engraulis encrasicolus;2016;OTB_GPV_24-40;6;0.0243600501140687
Engraulis encrasicolus;2016;OTB_GPV_24-40;9;4.53236169948531
Engraulis encrasicolus;2016;OTB_GPV_24-40;11;1056.95500381209
Engraulis encrasicolus;2016;OTB_GPV_24-40;12;364.67958113222
Engraulis encrasicolus;2016;OTB_GST_24-40;4;0.0746971231908132
Engraulis encrasicolus;2016;OTB_GST_24-40;5;0.663759247191037
Engraulis encrasicolus;2016;OTB_GST_24-40;6;0.0619213284997803
Engraulis encrasicolus;2016;OTB_GST_24-40;7;0.107638903096329
Engraulis encrasicolus;2016;OTB_GST_24-40;9;0.243510975436696
Engraulis encrasicolus;2016;OTB_GST_24-40;11;0.974103238187166
Engraulis encrasicolus;2016;OTB_XST_24-40;3;0.134982418505507
Engraulis encrasicolus;2016;OTB_XST_24-40;4;0.22402687818415
Engraulis encrasicolus;2016;OTB_XST_24-40;6;0.0428915396095711
Engraulis encrasicolus;2016;OTB_XST_24-40;12;452.555295238851
Engraulis encrasicolus;2016;OTM_CMT_24-40;8;185.252253941112
Engraulis encrasicolus;2016;OTM_CMT_24-40;9;83.2419018141828
Engraulis encrasicolus;2016;OTM_CMT_24-40;10;254.595140305856
Engraulis encrasicolus;2016;OTM_CMT_24-40;11;806.851155406053
Engraulis encrasicolus;2016;OTM_CMT_24-40;12;1202.34358060461
Engraulis encrasicolus;2016;OTM_CST_24-40;1;1157.66099496006
Engraulis encrasicolus;2016;OTM_CST_24-40;2;1053.62944224215
Engraulis encrasicolus;2016;OTM_CST_24-40;3;2602.57237936772
Engraulis encrasicolus;2016;OTM_CST_24-40;10;370.137840746424
Engraulis encrasicolus;2016;OTM_CST_24-40;11;647.537718886551
Engraulis encrasicolus;2016;OTM_CST_24-40;12;890.975618044462
Engraulis encrasicolus;2016;OTM_GPV_24-40;1;586.983248900644
Engraulis encrasicolus;2016;OTM_GPV_24-40;2;628.78673580496
Engraulis encrasicolus;2016;OTM_GPV_24-40;7;176.012324240241
Engraulis encrasicolus;2016;OTM_GPV_24-40;8;100.958825079573
Engraulis encrasicolus;2016;OTM_GPV_24-40;10;115.881439595838
Engraulis encrasicolus;2016;OTM_GPV_24-40;11;1081.40744817756
Engraulis encrasicolus;2016;OTM_GPV_24-40;12;995.8764470089
Engraulis encrasicolus;2016;OTM_XMA_18-24;11;100.312264945495
Engraulis encrasicolus;2016;OTM_XST_24-40;1;626.780470474396
Engraulis encrasicolus;2016;OTM_XST_24-40;2;568.016912524909
Engraulis encrasicolus;2016;OTM_XST_24-40;12;1467.79543833237
Engraulis encrasicolus;2016;OTT_CST_24-40;8;0.0495479808558753
Engraulis encrasicolus;2016;OTT_XST_24-40;1;29.0210341066116
Engraulis encrasicolus;2016;OTT_XST_24-40;2;0.0483568596430806
Engraulis encrasicolus;2016;OTT_XST_24-40;3;0.117598934691139
Engraulis encrasicolus;2016;OTT_XST_24-40;4;0.145013221457391
Engraulis encrasicolus;2016;OTT_XST_24-40;5;0.477245452952076
Engraulis encrasicolus;2016;OTT_XST_24-40;6;0.136584048721992
Engraulis encrasicolus;2016;OTT_XST_24-40;9;0.0785033456325226
Engraulis encrasicolus;2016;OTT_XST_24-40;10;0.317658285087513
Engraulis encrasicolus;2016;OTT_XST_24-40;12;0.116169397793244
Engraulis encrasicolus;2017;OTB_CMT_24-40;3;0.0298296392642009
Engraulis encrasicolus;2017;OTB_CMT_24-40;5;22.147226926021
Engraulis encrasicolus;2017;OTB_CMT_24-40;8;82.5530670055593
Engraulis encrasicolus;2017;OTB_CST_18-24;1;0.109357472691164
Engraulis encrasicolus;2017;OTB_CST_18-24;2;0.298240686586015
Engraulis encrasicolus;2017;OTB_CST_18-24;3;0.232916858981524
Engraulis encrasicolus;2017;OTB_CST_18-24;4;0.626372220609884
Engraulis encrasicolus;2017;OTB_CST_18-24;5;0.944005765454351
Engraulis encrasicolus;2017;OTB_CST_18-24;6;0.252852440389424
Engraulis encrasicolus;2017;OTB_CST_18-24;7;0.480078417316281
Engraulis encrasicolus;2017;OTB_CST_18-24;8;0.184976812360983
Engraulis encrasicolus;2017;OTB_CST_18-24;9;0.124430257682748
Engraulis encrasicolus;2017;OTB_CST_18-24;10;0.229010592940405
Engraulis encrasicolus;2017;OTB_CST_18-24;11;0.0986080322243648
Engraulis encrasicolus;2017;OTB_CST_18-24;12;0.170692346898193
Engraulis encrasicolus;2017;OTB_CST_24-40;2;0.163079854148521
Engraulis encrasicolus;2017;OTB_CST_24-40;6;0.189299911116874
Engraulis encrasicolus;2017;OTB_GPV_24-40;12;336.698293669474
Engraulis encrasicolus;2017;OTB_GST_18-24;2;0.81668199206011
Engraulis encrasicolus;2017;OTB_GST_18-24;3;0.322645312693089
Engraulis encrasicolus;2017;OTB_GST_18-24;4;11.2658659833364
Engraulis encrasicolus;2017;OTB_GST_18-24;5;6.21685321331355
Engraulis encrasicolus;2017;OTB_GST_18-24;6;3.37578254093431
Engraulis encrasicolus;2017;OTB_GST_18-24;7;0.15234512613992
Engraulis encrasicolus;2017;OTB_GST_24-40;1;0.331225710080585
Engraulis encrasicolus;2017;OTB_GST_24-40;3;0.388162938925752
Engraulis encrasicolus;2017;OTB_GST_24-40;9;0.138442146371246
Engraulis encrasicolus;2017;OTB_XST_24-40;2;0.346143145304119
Engraulis encrasicolus;2017;OTB_XST_24-40;4;0.244800631570478
Engraulis encrasicolus;2017;OTB_XST_24-40;5;1.31610765932924
